origin,destination,distance
Alpin Bistro,Smyth Tribeca,1612004.0
Alpin Bistro,Central Park,1612488.0
Alpin Bistro,Prospect Park,1619468.0
Alpin Bistro,Brooklyn Botanic Garden,1619468.0
Alpin Bistro,Washington Square Park,1613046.0
Alpin Bistro,Hunter College Art Galleries,1618778.0
Alpin Bistro,Atithi Indian Cuisine,1616692.0
Alpin Bistro,Atithi Indian Cuisine,1616692.0
Alpin Bistro,Sathi,1617711.0
Alpin Bistro,Mughlai Grill,1613992.0
Alpin Bistro,Atithi Indian Cuisine,1616692.0
Alpin Bistro,Sathi,1617711.0
Alpin Bistro,Mughlai Grill,1613992.0
Alpin Bistro,Clove Garden of India,1606861.0
Alpin Bistro,Curia On the Drag,2653.0
Alpin Bistro,Blue Boy Pizza,1635.0
Alpin Bistro,Scuola Pizza,8819.0
Curia On the Drag,Atithi Indian Cuisine,1615908.0
Curia On the Drag,Empyrean Indian Kitchen & Bar,1608696.0
Curia On the Drag,The Thonglor New York,1615256.0
Curia On the Drag,Imm Thai NYC,1612168.0
Curia On the Drag,The Art Students League of New York,1615550.0
Curia On the Drag,The Jazz Gallery,1615730.0
Curia On the Drag,David Zwirner,1615943.0
Curia On the Drag,Conrad New York Downtown,1611719.0
Curia On the Drag,Smyth Tribeca,1611220.0
Curia On the Drag,Central Park,1611704.0
Curia On the Drag,Prospect Park,1618684.0
Curia On the Drag,Brooklyn Botanic Garden,1618684.0
Curia On the Drag,Washington Square Park,1612262.0
Curia On the Drag,Hunter College Art Galleries,1617993.0
Curia On the Drag,Atithi Indian Cuisine,1615908.0
Curia On the Drag,Atithi Indian Cuisine,1615908.0
Curia On the Drag,Sathi,1616927.0
Curia On the Drag,Mughlai Grill,1613208.0
Curia On the Drag,Atithi Indian Cuisine,1615908.0
Curia On the Drag,Sathi,1616927.0
Curia On the Drag,Mughlai Grill,1613208.0
Curia On the Drag,Clove Garden of India,1606076.0
Curia On the Drag,Alpin Bistro,2958.0
Curia On the Drag,Blue Boy Pizza,3353.0
Curia On the Drag,Scuola Pizza,6206.0
Blue Boy Pizza,Atithi Indian Cuisine,1618285.0
Blue Boy Pizza,Empyrean Indian Kitchen & Bar,1611073.0
Blue Boy Pizza,The Thonglor New York,1617633.0
Blue Boy Pizza,Imm Thai NYC,1614545.0
Blue Boy Pizza,The Art Students League of New York,1617926.0
Blue Boy Pizza,The Jazz Gallery,1618107.0
Blue Boy Pizza,David Zwirner,1618320.0
Blue Boy Pizza,Conrad New York Downtown,1614096.0
Blue Boy Pizza,Smyth Tribeca,1613597.0
Blue Boy Pizza,Central Park,1614080.0
Blue Boy Pizza,Prospect Park,1621061.0
Blue Boy Pizza,Brooklyn Botanic Garden,1621061.0
Blue Boy Pizza,Washington Square Park,1614638.0
Blue Boy Pizza,Hunter College Art Galleries,1620370.0
Blue Boy Pizza,Atithi Indian Cuisine,1618285.0
Blue Boy Pizza,Atithi Indian Cuisine,1618285.0
Blue Boy Pizza,Sathi,1619304.0
Blue Boy Pizza,Mughlai Grill,1615584.0
Blue Boy Pizza,Atithi Indian Cuisine,1618285.0
Blue Boy Pizza,Sathi,1619304.0
Blue Boy Pizza,Mughlai Grill,1615584.0
Blue Boy Pizza,Clove Garden of India,1608453.0
Blue Boy Pizza,Alpin Bistro,2014.0
Blue Boy Pizza,Curia On the Drag,3687.0
Blue Boy Pizza,Scuola Pizza,8759.0
Scuola Pizza,Atithi Indian Cuisine,1617272.0
Scuola Pizza,Empyrean Indian Kitchen & Bar,1610060.0
Scuola Pizza,The Thonglor New York,1616620.0
Scuola Pizza,Imm Thai NYC,1613532.0
Scuola Pizza,The Art Students League of New York,1616913.0
Scuola Pizza,The Jazz Gallery,1617094.0
Scuola Pizza,David Zwirner,1617307.0
Scuola Pizza,Conrad New York Downtown,1613083.0
Scuola Pizza,Smyth Tribeca,1612584.0
Scuola Pizza,Central Park,1613067.0
Scuola Pizza,Prospect Park,1620048.0
Scuola Pizza,Brooklyn Botanic Garden,1620048.0
Scuola Pizza,Washington Square Park,1613625.0
Scuola Pizza,Hunter College Art Galleries,1619357.0
Scuola Pizza,Atithi Indian Cuisine,1617272.0
Scuola Pizza,Atithi Indian Cuisine,1617272.0
Scuola Pizza,Sathi,1618291.0
Scuola Pizza,Mughlai Grill,1614571.0
Scuola Pizza,Atithi Indian Cuisine,1617272.0
Scuola Pizza,Sathi,1618291.0
Scuola Pizza,Mughlai Grill,1614571.0
Scuola Pizza,Clove Garden of India,1607440.0
Scuola Pizza,Alpin Bistro,9114.0
Scuola Pizza,Curia On the Drag,6195.0
Scuola Pizza,Blue Boy Pizza,8399.0
