origin,destination,duration
Alpin Bistro,Mughlai Grill,54368.0
Alpin Bistro,Atithi Indian Cuisine,54729.0
Alpin Bistro,Sathi,54220.0
Alpin Bistro,Mughlai Grill,54368.0
Alpin Bistro,Clove Garden of India,53243.0
Alpin Bistro,Curia On the Drag,302.0
Alpin Bistro,Blue Boy Pizza,299.0
Alpin Bistro,Scuola Pizza,816.0
Curia On the Drag,Atithi Indian Cuisine,54631.0
Curia On the Drag,Empyrean Indian Kitchen & Bar,53400.0
Curia On the Drag,The Thonglor New York,53767.0
Curia On the Drag,Imm Thai NYC,53886.0
Curia On the Drag,The Art Students League of New York,53906.0
Curia On the Drag,The Jazz Gallery,53914.0
Curia On the Drag,David Zwirner,53806.0
Curia On the Drag,Conrad New York Downtown,53733.0
Curia On the Drag,Smyth Tribeca,53565.0
Curia On the Drag,Central Park,53721.0
Curia On the Drag,Prospect Park,54627.0
Curia On the Drag,Brooklyn Botanic Garden,54627.0
Curia On the Drag,Washington Square Park,53955.0
Curia On the Drag,Hunter College Art Galleries,54426.0
Curia On the Drag,Atithi Indian Cuisine,54631.0
Curia On the Drag,Atithi Indian Cuisine,54631.0
Curia On the Drag,Sathi,54122.0
Curia On the Drag,Mughlai Grill,54271.0
Curia On the Drag,Atithi Indian Cuisine,54631.0
Curia On the Drag,Sathi,54122.0
Curia On the Drag,Mughlai Grill,54271.0
Curia On the Drag,Clove Garden of India,53146.0
Curia On the Drag,Alpin Bistro,415.0
Curia On the Drag,Blue Boy Pizza,494.0
Curia On the Drag,Scuola Pizza,553.0
Blue Boy Pizza,Atithi Indian Cuisine,54974.0
Blue Boy Pizza,Empyrean Indian Kitchen & Bar,53743.0
Blue Boy Pizza,The Thonglor New York,54110.0
Blue Boy Pizza,Imm Thai NYC,54230.0
Blue Boy Pizza,The Art Students League of New York,54249.0
Blue Boy Pizza,The Jazz Gallery,54257.0
Blue Boy Pizza,David Zwirner,54149.0
Blue Boy Pizza,Conrad New York Downtown,54076.0
Blue Boy Pizza,Smyth Tribeca,53908.0
Blue Boy Pizza,Central Park,54065.0
Blue Boy Pizza,Prospect Park,54970.0
Blue Boy Pizza,Brooklyn Botanic Garden,54970.0
Blue Boy Pizza,Washington Square Park,54298.0
Blue Boy Pizza,Hunter College Art Galleries,54769.0
Blue Boy Pizza,Atithi Indian Cuisine,54974.0
Blue Boy Pizza,Atithi Indian Cuisine,54974.0
Blue Boy Pizza,Sathi,54466.0
Blue Boy Pizza,Mughlai Grill,54614.0
Blue Boy Pizza,Atithi Indian Cuisine,54974.0
Blue Boy Pizza,Sathi,54466.0
Blue Boy Pizza,Mughlai Grill,54614.0
Blue Boy Pizza,Clove Garden of India,53489.0
Blue Boy Pizza,Alpin Bistro,373.0
Blue Boy Pizza,Curia On the Drag,443.0
Blue Boy Pizza,Scuola Pizza,819.0
Scuola Pizza,Atithi Indian Cuisine,54674.0
Scuola Pizza,Empyrean Indian Kitchen & Bar,53443.0
Scuola Pizza,The Thonglor New York,53810.0
Scuola Pizza,Imm Thai NYC,53929.0
Scuola Pizza,The Art Students League of New York,53949.0
Scuola Pizza,The Jazz Gallery,53957.0
Scuola Pizza,David Zwirner,53849.0
Scuola Pizza,Conrad New York Downtown,53776.0
Scuola Pizza,Smyth Tribeca,53608.0
Scuola Pizza,Central Park,53764.0
Scuola Pizza,Prospect Park,54670.0
Scuola Pizza,Brooklyn Botanic Garden,54670.0
Scuola Pizza,Washington Square Park,53998.0
Scuola Pizza,Hunter College Art Galleries,54469.0
Scuola Pizza,Atithi Indian Cuisine,54674.0
Scuola Pizza,Atithi Indian Cuisine,54674.0
Scuola Pizza,Sathi,54165.0
Scuola Pizza,Mughlai Grill,54314.0
Scuola Pizza,Atithi Indian Cuisine,54674.0
Scuola Pizza,Sathi,54165.0
Scuola Pizza,Mughlai Grill,54314.0
Scuola Pizza,Clove Garden of India,53189.0
Scuola Pizza,Alpin Bistro,875.0
Scuola Pizza,Curia On the Drag,586.0
Scuola Pizza,Blue Boy Pizza,815.0
